Date,VIX,VVIX
2019-03-13,13.41,82.760002
2019-03-14,13.5,82.559998
2019-03-15,12.88,82.940002
2019-03-18,13.1,85.519997
2019-03-19,13.56,87.360001
2019-03-20,13.91,86.629997
2019-03-21,13.63,83.889999
2019-03-22,16.48,98.5
2019-03-25,16.33,97.199997
2019-03-26,14.68,89.849998
2019-03-27,15.15,91.339996
2019-03-28,14.43,87.949997
2019-03-29,13.71,85.82
2019-04-01,13.4,84.93
2019-04-02,13.36,83.279999
2019-04-03,13.74,84.230003
2019-04-04,13.58,82.150002
2019-04-05,12.82,79.099998
2019-04-08,13.18,81.860001
2019-04-09,14.28,88.139999
2019-04-10,13.3,89.489998
2019-04-11,13.02,88.059998
2019-04-12,12.01,84.980003
2019-04-15,12.32,84.169998
2019-04-16,12.18,83.580002
2019-04-17,12.6,85.550003
2019-04-18,12.09,84.410004
2019-04-22,12.42,83.269997
2019-04-23,12.28,81.43
2019-04-24,13.14,85.169998
2019-04-25,13.25,86.940002
2019-04-26,12.73,84.089996
2019-04-29,13.11,86.080002
2019-04-30,13.12,88.559998
2019-05-01,14.8,95.75
2019-05-02,14.42,93.019997
2019-05-03,12.87,86.230003
2019-05-06,15.44,94.849998
2019-05-07,19.32,111.540001
2019-05-08,19.4,106.480003
2019-05-09,19.1,102.919998
2019-05-10,16.04,96.010002
2019-05-13,20.55,105.599998
2019-05-14,18.06,97.260002
2019-05-15,16.44,94.529999
2019-05-16,15.29,94.230003
2019-05-17,15.96,99.120003
2019-05-20,16.31,96.830002
2019-05-21,14.95,92.379997
2019-05-22,14.75,89.300003
2019-05-23,16.92,94.980003
2019-05-24,15.85,90.190002
2019-05-28,17.5,95.080002
2019-05-29,17.9,93.830002
2019-05-30,17.3,92.779999
2019-05-31,18.71,96.720001
2019-06-03,18.86,96.029999
2019-06-04,16.97,88.93
2019-06-05,16.09,86.720001
2019-06-06,15.93,86.110001
2019-06-07,16.3,86.0
2019-06-10,15.94,83.860001
2019-06-11,15.99,84.949997
2019-06-12,15.91,86.199997
2019-06-13,15.82,84.730003
2019-06-14,15.28,82.57
2019-06-17,15.35,83.480003
2019-06-18,15.15,87.370003
2019-06-19,14.33,84.580002
2019-06-20,14.75,81.209999
2019-06-21,15.4,83.139999
2019-06-24,15.26,82.589996
2019-06-25,16.28,85.160004
2019-06-26,16.21,85.360001
2019-06-27,15.82,86.519997
2019-06-28,15.08,85.779999
2019-07-01,14.06,79.580002
2019-07-02,12.93,78.220001
2019-07-03,12.57,80.040001
2019-07-08,13.96,83.660004
2019-07-09,14.09,82.309998
2019-07-10,13.03,85.970001
2019-07-11,12.93,88.199997
2019-07-12,12.39,86.139999
2019-07-15,12.68,86.199997
2019-07-16,12.86,88.25
2019-07-17,13.97,90.349998
2019-07-18,13.53,84.040001
2019-07-19,14.45,86.769997
2019-07-22,13.53,81.220001
2019-07-23,12.61,78.989998
