DATE,INFECTDISEMVTRACKD
2019-10-24,2.04000
2019-10-25,4.08000
2019-10-26,0.00000
2019-10-27,2.26000
2019-10-28,1.77000
2019-10-29,0.00000
2019-10-30,0.00000
2019-10-31,0.83000
2019-11-01,0.00000
2019-11-02,0.77000
2019-11-03,0.00000
2019-11-04,0.83000
2019-11-05,0.62000
2019-11-06,1.59000
2019-11-07,0.54000
2019-11-08,0.59000
2019-11-09,1.53000
2019-11-10,0.00000
2019-11-11,0.82000
2019-11-12,0.69000
2019-11-13,0.53000
2019-11-14,1.10000
2019-11-15,0.58000
2019-11-16,0.00000
2019-11-17,0.00000
2019-11-18,1.52000
2019-11-19,0.00000
2019-11-20,0.54000
2019-11-21,0.56000
2019-11-22,0.58000
2019-11-23,0.00000
2019-11-24,0.00000
2019-11-25,0.00000
2019-11-26,0.00000
2019-11-27,0.00000
2019-11-28,2.62000
2019-11-29,1.49000
2019-11-30,0.00000
2019-12-01,0.00000
2019-12-02,0.00000
2019-12-03,0.00000
2019-12-04,0.00000
2019-12-05,0.00000
2019-12-06,0.00000
2019-12-07,0.81000
2019-12-08,1.57000
2019-12-09,0.00000
2019-12-10,0.00000
2019-12-11,0.55000
2019-12-12,0.00000
2019-12-13,0.00000
2019-12-14,0.00000
2019-12-15,1.61000
2019-12-16,3.76000
2019-12-17,0.00000
2019-12-18,1.65000
2019-12-19,3.42000
2019-12-20,1.28000
2019-12-21,0.00000
2019-12-22,0.00000
2019-12-23,0.00000
2019-12-24,0.83000
2019-12-25,0.00000
2019-12-26,1.49000
2019-12-27,0.00000
2019-12-28,0.00000
2019-12-29,4.26000
2019-12-30,0.97000
2019-12-31,1.54000
2020-01-01,1.89000
2020-01-02,2.84000
2020-01-03,1.33000
2020-01-04,0.00000
2020-01-05,0.86000
2020-01-06,0.99000
2020-01-07,0.00000
2020-01-08,0.56000
2020-01-09,1.16000
2020-01-10,0.00000
2020-01-11,0.85000
2020-01-12,0.00000
2020-01-13,0.91000
2020-01-14,0.00000
2020-01-15,0.00000
2020-01-16,0.00000
2020-01-17,0.00000
2020-01-18,0.00000
2020-01-19,0.00000
2020-01-20,0.00000
2020-01-21,0.00000
2020-01-22,0.56000
2020-01-23,0.00000
2020-01-24,1.24000
2020-01-25,0.86000
2020-01-26,2.43000
2020-01-27,0.00000
2020-01-28,6.23000
2020-01-29,0.00000
2020-01-30,2.29000
2020-01-31,9.68000
2020-02-01,8.36000
2020-02-02,3.20000
2020-02-03,8.18000
2020-02-04,5.50000
2020-02-05,2.71000
2020-02-06,1.71000
