release_date,Average Daily Compound Score,Average Daily Compound Score ex 0s,Sum Composite Score,VIX,VIX x .01,VIX x .001
10/9/2020,0.081,0.185,1.853,25,0.25,0.025
10/10/2020,0.04,0.096,2.888,25,0.25,0.025
10/11/2020,0.146,0.267,8.02,25,0.25,0.025
10/12/2020,-0.007,-0.012,-0.395,25.07,0.2507,0.02507
10/13/2020,0.108,0.181,7.229,26.07,0.2607,0.02607
10/14/2020,0.089,0.267,1.068,26.4,0.264,0.0264
10/15/2020,-0.004,-0.013,-0.025,26.969999,0.26969999,0.026969999
10/16/2020,0.041,0.092,2.112,27.41,0.2741,0.02741
10/17/2020,0.118,0.224,6.951,27.41,0.2741,0.02741
10/18/2020,0.057,0.097,3.402,27.41,0.2741,0.02741
10/19/2020,0.062,0.141,4.243,29.18,0.2918,0.02918
10/20/2020,0.095,0.198,4.758,29.35,0.2935,0.02935
10/21/2020,-0.117,-0.291,-0.583,28.65,0.2865,0.02865
10/22/2020,-0.144,-0.287,-0.861,28.110001,0.28110001,0.028110001
10/23/2020,0.044,0.073,2.708,27.549999,0.27549999,0.027549999
10/24/2020,0.082,0.175,5.425,27.549999,0.27549999,0.027549999
10/25/2020,0.05,0.105,3.25,27.549999,0.27549999,0.027549999
10/26/2020,0.095,0.173,7.251,32.459999,0.32459999,0.032459999
10/27/2020,0.084,0.134,5.362,33.349998,0.33349998,0.033349998
10/28/2020,0.118,0.294,0.588,40.279999,0.40279999,0.040279999
10/29/2020,-0.098,-0.182,-1.272,37.59,0.3759,0.03759
10/30/2020,0.042,0.11,2.422,38.02,0.3802,0.03802
10/31/2020,0.082,0.177,4.95,38.02,0.3802,0.03802
11/1/2020,0.158,0.231,8.558,38.02,0.3802,0.03802
11/2/2020,0.101,0.169,7.448,37.130001,0.37130001,0.037130001
11/3/2020,0.075,0.15,4.501,35.549999,0.35549999,0.035549999
11/4/2020,0.035,0.07,0.281,29.57,0.2957,0.02957
11/5/2020,0.102,0.204,0.613,27.58,0.2758,0.02758
11/6/2020,0.081,0.144,5.176,24.860001,0.24860001,0.024860001
11/7/2020,0.093,0.179,5.366,24.860001,0.24860001,0.024860001
11/8/2020,0.047,0.111,2.549,24.860001,0.24860001,0.024860001
11/9/2020,0.122,0.261,7.299,25.75,0.2575,0.02575
11/10/2020,0.126,0.247,8.158,24.799999,0.24799999,0.024799999
11/11/2020,0.072,0.155,0.931,23.450001,0.23450001,0.023450001
11/12/2020,0.101,0.277,1.107,25.35,0.2535,0.02535
11/13/2020,0.067,0.151,3.636,23.1,0.231,0.0231
11/14/2020,0.112,0.2,6.604,23.1,0.231,0.0231
11/15/2020,0.121,0.257,6.165,23.1,0.231,0.0231
11/16/2020,0.068,0.139,3.186,22.450001,0.22450001,0.022450001
11/17/2020,0.127,0.237,8.758,22.709999,0.22709999,0.022709999
11/18/2020,-0.017,-0.03,-0.121,23.84,0.2384,0.02384
11/19/2020,0.127,0.637,0.637,23.110001,0.23110001,0.023110001
11/20/2020,0.108,0.194,5.831,23.700001,0.23700001,0.023700001
11/21/2020,0.201,0.328,9.853,23.700001,0.23700001,0.023700001
11/22/2020,0.022,0.044,1.062,23.700001,0.23700001,0.023700001
11/23/2020,0.102,0.229,0.914,22.66,0.2266,0.02266
11/24/2020,0.115,0.206,6.988,21.639999,0.21639999,0.021639999
11/25/2020,0.093,0.14,0.838,21.25,0.2125,0.02125
11/26/2020,0.165,0.577,1.155,21.25,0.2125,0.02125
11/27/2020,0.084,0.224,4.03,20.84,0.2084,0.02084
11/28/2020,0.125,0.213,7.019,20.84,0.2084,0.02084
11/29/2020,0.101,0.192,6.335,20.84,0.2084,0.02084
11/30/2020,0.064,0.123,3.947,20.57,0.2057,0.02057
12/1/2020,0.093,0.153,6.886,20.77,0.2077,0.02077
12/2/2020,0.226,0.339,1.357,21.17,0.2117,0.02117
12/3/2020,0.082,0.494,0.494,21.280001,0.21280001,0.021280001
12/4/2020,0.141,0.256,8.715,20.790001,0.20790001,0.020790001
12/5/2020,0.11,0.229,7.573,20.790001,0.20790001,0.020790001
12/6/2020,0.192,0.31,10.545,20.790001,0.20790001,0.020790001
12/7/2020,0.122,0.224,8.067,21.299999,0.21299999,0.021299999
12/8/2020,0.065,0.121,4.241,20.68,0.2068,0.02068
12/9/2020,0.068,0.34,0.679,22.27,0.2227,0.02227
12/10/2020,0.202,0.263,2.626,22.52,0.2252,0.02252
12/11/2020,0.063,0.121,3.148,23.309999,0.23309999,0.023309999
