DATE,WLEMUINDXD
2018-12-05,139.65000
2018-12-06,75.46000
2018-12-07,136.77000
2018-12-08,155.75000
2018-12-09,88.41000
2018-12-10,31.10000
2018-12-11,60.20000
2018-12-12,44.39000
2018-12-13,43.84000
2018-12-14,37.87000
2018-12-15,23.70000
2018-12-16,148.15000
2018-12-17,81.30000
2018-12-18,78.69000
2018-12-19,127.54000
2018-12-20,104.20000
2018-12-21,124.22000
2018-12-22,239.05000
2018-12-23,343.07000
2018-12-24,217.14000
2018-12-25,306.29000
2018-12-26,308.66000
2018-12-27,175.00000
2018-12-28,282.74000
2018-12-29,226.67000
2018-12-30,274.06000
2018-12-31,154.52000
2019-01-01,200.86000
2019-01-02,168.81000
2019-01-03,265.43000
2019-01-04,157.68000
2019-01-05,111.00000
2019-01-06,244.26000
2019-01-07,153.69000
2019-01-08,185.62000
2019-01-09,109.68000
2019-01-10,136.76000
2019-01-11,124.88000
2019-01-12,97.06000
2019-01-13,136.09000
2019-01-14,90.30000
2019-01-15,85.64000
2019-01-16,492.31000
2019-01-17,139.37000
2019-01-18,217.37000
2019-01-19,228.92000
2019-01-20,274.29000
2019-01-21,154.86000
2019-01-22,159.42000
2019-01-23,180.21000
2019-01-24,97.13000
2019-01-25,119.40000
2019-01-26,73.39000
2019-01-27,180.95000
2019-01-28,45.53000
2019-01-29,86.39000
2019-01-30,76.42000
2019-01-31,142.96000
2019-02-01,88.78000
2019-02-02,83.78000
2019-02-03,66.15000
2019-02-04,118.31000
2019-02-05,102.39000
2019-02-06,153.76000
2019-02-07,18.94000
2019-02-08,7.47000
2019-02-09,47.38000
2019-02-10,32.66000
2019-02-11,66.98000
2019-02-12,25.83000
2019-02-13,19.28000
2019-02-14,6.30000
2019-02-15,29.16000
2019-02-16,35.55000
2019-02-17,53.39000
2019-02-18,12.55000
2019-02-19,26.18000
2019-02-20,31.77000
2019-02-21,62.04000
2019-02-22,29.54000
2019-02-23,34.92000
2019-02-24,53.18000
2019-02-25,23.22000
2019-02-26,42.85000
2019-02-27,66.43000
2019-02-28,62.04000
2019-03-01,50.88000
2019-03-02,23.08000
2019-03-03,10.62000
2019-03-04,23.30000
2019-03-05,8.86000
2019-03-06,6.45000
2019-03-07,37.71000
2019-03-08,66.65000
2019-03-09,47.41000
2019-03-10,110.55000
2019-03-11,21.72000
2019-03-12,26.23000
2019-03-13,12.95000
2019-03-14,30.81000
2019-03-15,53.12000
2019-03-16,61.29000
2019-03-17,88.70000
2019-03-18,47.71000
2019-03-19,52.19000
2019-03-20,49.81000
2019-03-21,19.41000
2019-03-22,30.41000
2019-03-23,36.66000
2019-03-24,43.20000
2019-03-25,36.37000
2019-03-26,24.66000
